question_number,unit_number,chapter_number,grammar_ref,question,choice_a,choice_b,choice_c,choice_d,answer
57,2(1),3,N4-3,"そのシャツ、きれいですね。どこで＿＿＿＿。(polite)
  駅前のデパートです。",買ます,買ったんですか,買ったか,買つた,B
58,2(1),4,N4-4,カレーの＿＿＿＿を教えてください。,作る方,作り方,作ろ方,作れ方,B
59,2(1),4,N4-4,このアプリの＿＿＿＿がよくわからないんですが…。,使う方,使います方,使って方,使い方,D
60,2(1),4,N4-4,すみません、駅への＿＿＿＿を教えていただけますか。,行く方,行きます方,行き方,行って方,C
61,2(1),4,N4-4,この漢字の＿＿＿＿を教えてください。,読み方,読む方,読め方,読ま方,A
62,2(1),4,N4-4,Macbookは＿＿＿＿が簡単で、とてもべんりですよ。,使い方,使う方,使え方,使お方,A
63,2(1),4,N4-4,フランス語の発音の＿＿＿＿は難しいです。,話し方,言い方,仕方,書き方,C
64,2(1),4,N4-4,この漢字の＿＿＿＿＿を教えてください。,書か方,書き方,書く方,書いて方,B
65,2(1),4,N4-4,エアコンの＿＿＿＿＿がわかりません。,つけ方,消して方,つける方,消す方,A
66,2(1),4,N4-4,パソコンを使いたいんですけど、パソコンの＿＿＿＿＿がわかりません。,開け方,開ける方,閉じる方,閉じ方,A
67,2(1),4,N4-4,ベンチプレスの＿＿＿＿を教えてください,やる方,やり方,や方,やって方,B
68,2(1),4,N4-4,この料理の＿＿＿＿を教えて下さい,作ります,作り方,作りた,作りて,B
69,2(1),4,N4-4,この漢字の＿＿＿＿がわかりますか。,読んだ,読んで,読みます,読み方,D
70,2(1),4,N4-4,日本の着物の＿＿＿＿＿が分かりません,着方,着ます,着って,着った,A
71,2(1),4,N4-4,あなたはこのゲームの＿＿＿＿＿を知っていますか,遊びます,遊んで,遊び方,遊んだ,C
72,2(1),4,N4-4,これは上手な＿＿＿＿＿の本です。スピーチの前に読んでください,話します,話して,話しだ,話し方,D
73,2(1),5,N4-5,＿＿＿＿ので、帰ります。,熱がある,元気です,好きです,おもしろい,A
74,2(1),5,N4-5,＿＿＿＿ので、水を飲みます。,ひまです,のどがかわいた,さむい,うれしいです,B
75,2(1),5,N4-5,＿＿＿＿ので、休みます。,うるさい,ひま,ねむい,にぎやかな,C
76,2(1),5,N4-5,＿＿＿＿ので、アニメを見ます,ひま,やることがない,勉強する,うれしい,B
77,2(1),5,N4-5,＿＿＿＿ので、外に出ません。,晴れ,雨,晴れな,雨な,D
78,2(1),5,N4-5,＿＿＿＿ので、急ぎます。,ひまな,時間がない,好きな,雨,B
79,2(1),5,N4-5,＿＿＿＿ので、電気をつけました。,明るい,暗い,明るいな,暗いな,B
80,2(1),5,N4-5,＿＿＿＿ので、図書館へ行きます。,いそがしい,うるさい,ひま,勉強したい,D
81,2(1),5,N4-5,＿＿＿＿ので、バスで行きます。,今雨が降る,今雨が降らない,今雨が降っている,今雨が降っていない,C
82,2(1),5,N4-5,＿＿＿＿ので、新しいかばんを買いました。,古い,古くない,古いな,古います,A
83,2(1),5,N4-5,部屋が＿＿＿＿ので、エアコンをつけました。,とても暑い,とても暑いな,とても暑いだ,とても暑くない,A
84,2(1),5,N4-5,＿＿＿＿ので、休みます。,かぜをひく,かぜをひいた,かぜをひいて,かぜをひくます,B
85,2(1),5,N4-5,お金を＿＿＿＿ので、財布をさがしています。,落とす,落としています,落として,落とした,D
86,2(1),5,N4-5,日本に＿＿＿＿ので、日本語を勉強しています。,旅行したい,旅行したくない,旅行しますか,旅行して,A
87,2(1),5,N4-5,荷物が＿＿＿＿ので、タクシーを呼びました。,重い,重いな,軽い,軽いな,A
88,2(1),5,N4-5,ちょっと＿＿＿＿ので、今日は早く帰ります。,具合がいい,具合が悪い,具合がよかった,具合が悪かった,B
90,2(1),5,N4-5,昨日ニュースを＿＿＿＿＿ので、その事故を知りませんでした。,見なかった,見ない,見て,見よう,A
91,2(1),5,N4-5,兄は映画が＿＿＿＿ので、よく見に行きます。,好き,好きな,好きだ,好きで,B
92,2(1),5,N4-5,今日は＿＿＿ので、学校は休みです。,日曜日,日曜日だ,日曜日な,日曜日の,C
93,2(1),5,N4-5,パソコンが＿＿＿＿＿ので、新しいのを買いました。,こわれる,こわれない,こわれて,こわれた,D
94,2(1),5,N4-5,私の家は駅から＿＿＿＿＿ので、不便です。,遠い,遠な,遠くて,遠く,A
95,2(1),6,N4-6,私は自転車に____ができます,乗ること,乗る,乗ります,のっています,A
96,2(1),6,N4-6,この川は危ないので________,泳ぐことができます,泳ぐことができません,泳ぐからできません,泳ぎません,B
97,2(1),6,N4-6,インターネットでホテルを＿＿＿＿ことができます。,予約する,予約できます,予約ができる,予約をする,A
98,2(1),6,N4-6,このペンで手紙を＿＿＿＿＿ことができます。,書く,書きます,書いて,書いた,A
99,2(1),6,N4-6,私はパソコンを＿＿＿＿＿できます。たとえば、エクセルやワード。,作ることが,使うことが,作ってが,作った,B
100,2(1),6,N4-6,私はギターを＿＿＿ができます,弾く,弾きます,弾いて,弾くこと,D
101,2(1),6,N4-6,田中さんは＿＿＿＿＿できます,フランス語を,フランス語が,フランス語に,フランス語で,B
102,2(1),6,N4-6,美術館では写真を＿＿＿＿＿できます,撮ることが,撮ります,撮って,撮れること,A
103,2(1),6,N4-6,私は日本語を＿＿＿＿＿ができます,話した,話します,話して,話すこと,D
104,2(1),6,N4-6,田中さんはピアノを＿＿＿＿＿ができます,弾くこと,弾きます,弾いて,弾いた,A
105,2(1),6,N4-6,子どもは自転車に＿＿＿＿＿できます,乗ります,乗ることが,乗って,乗った,B
106,2(1),6,N4-6,この店ではクレジットカードが＿＿＿＿＿できます,使います,使うことが,使って,使った,B
107,2(1),6,N4-6,山田さんは英語を＿＿＿＿＿できます,読んで,読みます,読むことが,読んだ,C
108,2(1),7,N4-7,その店が＿＿＿＿かどうか、電話で聞いてみます。,開いている,開く,開いた,開いて,A
109,2(1),7,N4-7,明日雨が＿＿＿＿かどうか、天気予報を見ましょう。,ふる,ふった,ふれている,ふって,A
110,2(1),7,N4-7,彼が＿＿＿＿＿＿＿、まだ分かりません。,来ることが,来るかどうか,来るどか,来るがこと,B
111,2(1),7,N4-7,この漢字が正しい＿＿＿＿＿＿＿、先生に聞いてください。,書き方だかどうか,書き方などうか,書き方かどうか,書き方ことか,C
112,2(1),7,N4-7,パスポートを＿＿＿＿かどうか、もう一度確認してください。,持っている,持つ,持っているだ,持つだ,A
113,2(1),7,N4-7,今日授業が＿＿＿＿＿＿＿、LINEで友だちに聞きました。,あること,あって,あるどうか,あるかどうか,D
114,2(1),7,N4-7,その映画が＿＿＿＿＿＿＿＿＿＿、レビューを読みました。,おもしろいことかどうか,おもしろいことか,おもしろいかどうか,おもしろいで,C
115,2(1),7,N4-7,電車が時間どおりに来る＿＿＿＿どうか、しらべています。,こと,か,いつ,だ,B
116,2(1),7,N4-7,私の日本語が＿＿＿＿＿かどうか、先生に聞いてみます。,上手です,上手か,上手,上手だった,C
117,2(1),7,N4-7,新しいアプリが________、まだわかりません。,便利かどうか,便利ですか,便利,便利でしたか,A
118,2(1),7,N4-7,彼が_____かどうか教えてください。,来ます,来る,来て,来た,B
119,2(1),7,N4-7,____かどうかわからないので、食べてみます,美味しい,美味しかった,美味しいです,美味しく,A
120,2(1),7,N4-7,あの図書館、日曜日が＿＿＿＿＿かどうか、知っていますか。,休む,休み,休んだ,休んで,B
121,2(1),7,N4-7,あのレストランは＿＿＿＿＿かどうか、分かりません。,美味しい,美味しくありません,美味しかった,美味しく,A
122,2(1),7,N4-7,この仕事、明日までに＿＿＿＿かどうか分かりませんが、やってみましょう。,できる,できます,できません,できた,A
123,2(1),7,N4-7,明日一緒にカラオケに＿＿＿＿かどうか、友達に電話して聞いてみます。,行く,行きます,行って,行った,A
124,2(1),7,N4-7,明日雨が_____かどうか、天気予報を見ます。,降る,降りました,降りませんでした,降った,A
125,2(1),7,N4-7,その店がまだ______かどうか、電話して聞いてみます。,開い,開いている,開いた,開いてます,B
126,2(1),7,N4-7,その話が_____かどうか、分かりません。,本当だ,本当です,本当,本当だったら,C
127,2(1),7,N4-7,来週のテストに______かどうか、心配です。,間に合って,間に合った,間に合わなかった,間に合う,D
128,2(1),7,N4-7,田中さんがパーティーに____かどうか、知っていますか。,来る,来た,来て,来ない,A
129,2(1),7,N4-7,この漢字が_______かどうか、先生に見てもらいます。,正しかった,正しい,正しくなかった,正しくて,B
130,2(1),7,N4-7,この電車が空港に______かどうか、駅員さんに聞きました。,行くなかった,行って,行く,行った,C
131,2(1),7,N4-7,あの人が_____かどうか、よく分かりません。,外国人はなかった,外国人だった,外国人でした,外国人,D
132,2(1),7,N4-7,その映画が______かどうか、友達に聞きたいです。,見た,見る,面白い,面白います,C
133,2(1),7,N4-7,明日の会議に______かどうか、メールで教えてください。,参加できない,参加できる,参加できた,参加できなかった,B
134,2(2),8,N4-8,傘を______歩く,差して,差した,差しません,差さない,A
135,2(2),8,N4-8,シートベルトをして_____下さい。,運転して,運動して,運んで,動いて,A
136,2(2),8,N4-8,暑かったので窓を_____寝ました。,閉めて,開けて,開いて,消して,B
137,2(2),8,N4-8,下の絵を_____答えて下さい。,見えて,見せて,見て,見ないで,D
138,2(2),8,N4-8,この絵は色鉛筆を_____かきました。,使えて,使わなくて,使ったり,使って,D
139,2(2),8,N4-8,雨の日、傘を_____学校に行きます。,差して,被って,はいて,して,A
140,2(2),8,N4-8,暑い日は帽子を_____学校に行きます。,被って,着て,はいて,して,A
141,2(2),8,N4-8,寒い日はコートを_____学校に行きます。,かぶって,着て,はいて,して,B
142,2(2),8,N4-8,時間がなかったので、朝ご飯を_____、学校へ行きました。,食べなくて,食べなかった,食べないで,食べません,C
143,2(2),8,N4-8,財布を_____、出かけました。,持たなくて,持って,持ちないで,持たないで,D
144,2(2),8,N4-8,辞書を_____、作文を書きます。,使わなくて,使いないで,使って,使わないで,D
145,2(2),8,N4-8,車に＿＿＿＿、仕事に行きます。,乗りて,乗て,乗って,乗り,C
146,2(2),8,N4-8,歯を＿＿＿＿、寝ます。,磨き,磨いて,磨って,磨いた,B
147,2(2),8,N4-8,薬を＿＿＿＿、寝たほうがいいですよ。,飲み,飲んで,飲んだ,飲む,B
148,2(2),8,N4-8,朝ごはんを＿＿＿＿、学校へ行きます。,食べ,食べる,食べて,食べた,C
149,2(2),8,N4-8,シャワーを＿＿＿＿、出かけます。,浴び,浴びて,浴びって,浴びんで,B
150,2(2),8,N4-8,傘を＿＿＿＿、スーパーに行きます,さす,さって,さいて,さして,D
151,2(2),8,N4-8,スーパーでサンドイッチを＿＿＿＿、家に帰ります,買うって,買って,買いて,買て,B
152,2(2),8,N4-8,ジムに＿＿＿＿、運動します,行く,行て,行って,行くて,C
153,2(2),9,N4-9,朝ごはんを＿＿＿＿出かけました。,食べないで,食べました,食べないだ,食べなくて,A
154,2(2),9,N4-9,薬を＿＿＿＿、寝ないでください。,飲みませんで,飲まなんで,飲まなくて,飲まないで,D
155,2(2),9,N4-9,電気を＿＿＿＿、寝ました。,けさなんで,けさない,けさなくて,けさないで,D
156,2(2),9,N4-9,スマホを＿＿＿＿、話してください。,見ませんで,見てで,見ないで,見ないんで,C
157,2(2),9,N4-9,宿題を＿＿＿＿、テレビを見ました。,しませんで,しません,しないて,しないで,D
158,2(2),9,N4-9,時間がなかったので、朝ご飯を_______、学校へ行きました。,食べないで,食べなかった,食べる,食べて,A
159,2(2),9,N4-9,財布を________、出かけました,持てない,持たないで,持てなかった,持てる,B
160,2(2),9,N4-9,辞書を________、作文を書きます。,使います,使いません,使わないで,使った,C
161,2(2),9,N4-9,砂糖を _____ コーヒーを飲みます。,入らないで,入らなくて,入れないで,入れて,C
162,2(2),9,N4-9,傘を _____ 歩いている人がいます。,差して,差さないで,差さなくて,差さないで,B
163,2(2),9,N4-9,疲れたので、シャワーを _____ 寝ました。,あびないで,あびなくて,あばないで,あびて,A
164,2(2),9,N4-9,テキストを _____ 答えを書いて下さい。,見ないで,見なくて,見えて,見せなくて,A
165,2(2),9,N4-9,明日試験が_____、寝ないで勉強します。,あって,あるので,あるのに,あれば,B
166,2(2),10,N4-10,今日の宿題はもう全部______。,やってしまいました,やってまいません,やってしまわない,やってしまって,A
167,2(2),10,N4-10,"A:本、ありがとうございました。とても面白かったです。
  B:え？もう________。",読みました,読んでしまったんですか,読みましょう,読んでしまわない,B
168,2(2),10,N4-10,６時から飲み会があるので、このイラストを５時までに______。,書いた,書く,書いてしまいたい,書いたい,C
169,2(2),10,N4-10,冷蔵庫のジュースを全部＿＿＿＿しまいました。,飲んで,飲む,飲んだ,飲みました,A
170,2(2),10,N4-10,この仕事は昼休みまでに＿＿＿＿しまいたいと思います。,やる,やって,やった,やってない,B
171,2(2),10,N4-10,見学のレポートは昨日＿＿＿＿しまいました。,書いた,書く,書いて,書かない,C
172,2(2),10,N4-10,料理の材料や飲み物は、このスーパーで全部＿＿＿＿＿しまいましょう。,買う,書いた,買いって,買って,D
173,2(2),10,N4-10,雨が降る前に、犬の散歩に＿＿＿＿＿しまいましょう。,行った,行ってない,行って,行ったなかった,C
174,2(2),10,N4-10,大事な書類をなくし＿＿＿＿。,てみた,てしまいました,ていった,ていって,B
175,2(2),10,N4-10,友だちのケーキを全部食べ＿＿＿＿。,てしまいました,ています,てしました,ていまいました,A
176,2(2),10,N4-10,雨が急に降って、服がぬれ＿＿＿＿。,ておく,てしまいました,ていった,てまいました,B
177,2(2),10,N4-10,財布をどこかで＿＿＿＿＿しまいました。,なくして,なくす,なくした,なくします,A
178,2(2),10,N4-10,宿題が全部＿＿＿＿＿しまいました。だから、今日は早く寝ます。,わすれて,おわって,みえて,たべて,B
179,2(2),10,N4-10,大事な会議に＿＿＿＿＿しまいました。すみません！,おくれて,いれて,つくって,ちこく,A
180,2(2),10,N4-10,タクシーの中にかばんを＿＿＿＿＿しまいました。,わすれる,わすれて,わすれた,わすれます,B
181,2(2),10,N4-10,ゲームに夢中で、時間がすぎて＿＿＿＿＿。,しまいました,しました,しいました,した,A
182,2(2),10,N4-10,間違えて先生にメールを_________________。,おくってしまいました,おくってしました,おくってした,おくってしまた,A
183,2(2),10,N4-10,お金を全部つかって＿＿＿＿＿。,しまた,しまいました,しまって,しまて,B
184,2(2),10,N4-10,疲れていたので、ソファで寝＿＿＿＿＿しまいました。,て,た,る,ない,A
185,2(2),10,N4-10,必要なものは全部モールで買って_____________。,しまいましょう,しまいしょう,しましょう,してしまいましょう,A
186,2(2),10,N4-10,ジュースを＿＿＿＿＿しまいました。,こぼす,こぼして,こぼした,こぼさない,B
187,2(2),10,N4-10,公園でころんで、足を＿＿＿＿＿しまいました。,けがする,けがして,けがした,けがしない,B
188,2(2),10,N4-10,スマホを水に＿＿＿＿＿しまいました。,おとす,おとして,おとした,おとさない,B
189,2(2),10,N4-10,友だちの本を＿＿＿＿＿しまいました。,なくした,なくす,なくして,なくさない,C
190,2(2),11,N4-11,雨が＿＿＿＿＿ら、出かけません。,ふる,ふって,ふった,ふらない,C
191,2(2),11,N4-11,宿題が＿＿＿＿＿ら、ゲームしていいよ。,おわる,おわって,おわった,おわらない,C
192,2(2),11,N4-11,うちに＿＿＿＿＿ら、れんらくしてください。,つく,ついた,ついて,つかない,B
193,2(2),11,N4-11,ひまに＿＿＿＿＿、手伝ってください。,なるら,なったら,なったたら,なるたら,B
194,2(2),11,N4-11,ねつが＿＿＿＿＿＿、学校を休んでください。,でるら,でったら,でたら,でてら,C
195,2(2),11,N4-11,10時に＿＿＿＿＿、起こしてください。,なったら,なってら,なるら,なって,A
196,2(2),11,N4-11,ボタンを＿＿＿＿＿ら、ドアが開きます。,おす,おさない,おして,おした,D
197,2(2),11,N4-11,料理が＿＿＿＿＿ら、呼んでください。,した,できた,する,できる,B
198,2(2),11,N4-11,＿＿＿＿＿＿、食べてください,よかった,いったら,よかったら,いいたら,C
199,2(2),11,N4-11,これはどうやって＿＿＿＿＿らいいですか。,使う,使わない,使って,使った,D
200,2(2),11,N4-11,日本でけいたいを買いたいです。どこへ＿＿＿＿＿＿＿。,行ったらいいですか,行きますか,行ってもいいですか,行きましょう,A
201,2(2),11,N4-11,これ、どこに＿＿＿＿＿らいいですか。,捨てた,捨てて,捨てました,捨てます,A
202,2(2),11,N4-11,わからないとき、だれに＿＿＿＿＿＿＿＿。,聞いたらいいですか,聞きましょう,聞いてもいいですか,聞きませんか,A
203,2(2),11,N4-11,パーティーには何を＿＿＿＿＿らいいですか。,持って行く,持って行かない,持って行って,持って行った,D
204,2(2),11,N4-11,この漢字、どうやって＿＿＿＿＿＿＿＿＿。,読んだらいいですか,読んでいいですか,読んでもいいですか,読んではいけません,A
205,2(2),11,N4-11,先生、つぎは何を＿＿＿＿＿らいいですか。,する,して,した,しないで,C
206,2(2),11,N4-11,じゅぎょうの前に何を＿＿＿＿＿いいですか。,勉強したら,勉強して,勉強したと,勉強する,A
207,2(2),11,N4-11,雨が___出かけません。,降ったら,降るなら,降っても,降れば,A
208,2(2),11,N4-11,危ないので台風が___海へ行かないでください。,来るなら,来たら,来て,来ても,B
209,2(2),11,N4-11,明日___野球の試合はありません。,雨でも,雨ばかり,雨だったら,雨と,C
210,2(2),11,N4-11,駅から___歩いて行きましょう。,近くて,近いと,近くなれば,近かったら,D
211,2(2),11,N4-11,仕事が___お酒を飲みに行きませんか。,おわるなら,おわるのに,おわったら,おわっても,C
212,2(2),11,N4-11,１８歳に___、めんきょを撮ることがきます。,なるなら,なったら,なると,なって,B
213,2(2),11,N4-11,もう５時間も働いていますよ。少し___どうですか。,休んだら,休みに,休めば,休みと,A
214,2(2),12,N4-12,来て！ここでいい写真が______よ。,撮れません,撮れます,撮れるます,撮れない,B
215,2(2),12,N4-12,熱があって、学校に_____。,行けません,行くません,行けます,行かれます,A
216,2(2),12,N4-12,車が_______。,運転します,運転ません,運転しない,運転できます,D
217,2(2),12,N4-12,コンビューターが＿＿＿＿＿＿,使える,使えまする,使われられます,使うません,A
218,2(2),12,N4-12,私は日本語の新聞が＿＿＿＿＿。,読みません,読めます,読まれます,読めないます,B
219,2(2),12,N4-12,私はお酒が＿＿＿＿＿＿。,飲むません,飲まれます,飲めません,飲めるます,C
220,2(2),12,N4-12,"A:この図書館、雑誌も＿＿＿＿＿＿＿。
B:ええ、古い雑誌は大丈夫ですよ",借りられます,借りますか,借りませんか,借りられますか,D
221,2(2),12,N4-12,私は漢字が１００字＿＿＿＿。,書けます,書かれます,書けまする,書くません,A
222,2(2),12,N4-12,鈴木さんはギターが上手です。でも、ピアノが＿＿＿＿。,弾かれます,弾けます,弾けません,弾くません,C
223,2(2),12,N4-12,あのビール工場はいつでも＿＿＿＿＿。,見学します,見学られません,見学できます,見学できられる,C
224,2(2),12,N4-12,"A:明日の朝７時に会社に＿＿＿＿か。
 B:はい、分かりました。",来るます,来ます,来られます,来れない,C
225,2(2),12,N4-12,うちの息子は４歳ですが、自転車に＿＿＿＿。,乗られまする,乗れまする,乗れません,乗れます,D
226,2(2),12,N4-12,あそこに白いビルが＿＿＿＿ね。銀行はあの中です。,見えます,見られます,見えまする,見えますれます,A
227,2(2),12,N4-12,上野動物園でパンダが＿＿＿＿よ。,見えます,見られます,見られまする,見えまする,B
228,2(2),12,N4-12,あ、鳥の声が＿＿＿＿＿ね。綺麗な声ですね,聞けまする,聞かれます,聞こえます,聞けます,C
229,2(2),12,N4-12,インターネットで、いつも新しい歌が＿＿＿＿＿。,聞こえます,聞かれます,聞けるます,聞けます,D
230,2(2),12,N4-12,漢字が＿＿＿＿＿。,読むない,読めない,読んない,読みない,B
231,2(2),12,N4-12,このプールではおよぐことが＿＿＿＿＿。,できます,できす,する,します,A
232,2(2),12,N4-12,先生、もっとゆっくり＿＿＿＿＿ますか。,話す,話せ,話して,話した,B
233,2(2),12,N4-12,ねー、富士山が＿＿＿＿＿よ。,見る,見える,見られる,見れる,B
234,2(2),12,N4-12,この牛乳は＿＿＿＿＿＿よ。,飲めらません,飲めません,飲められません,飲めれません,B
235,2(2),12,N4-12,新しいパソコンだから、いろいろなアプリが＿＿＿＿＿。,つかいます,つかえません,つかえます,つかいました,C
236,2(2),12,N4-12,このカメラは水の中でも＿＿＿＿＿。,とります,とられます,とれます,とらます,C
